x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
7.08984375,3691.032444,2.825900304,3.00E-06,2.246662588,0.290311896,29.78427997
7.12890625,3691.976032,2.826920626,3.00E-06,2.243360703,0.290115464,29.72760331
7.16796875,3692.930248,2.827955752,3.00E-06,2.239884158,0.289929982,29.6694249
7.20703125,3693.891694,2.828994737,3.00E-06,2.236326323,0.289739167,29.6109211
7.24609375,3694.855611,2.830028407,3.00E-06,2.23270911,0.289542493,29.55327102
7.28515625,3695.818007,2.831051719,3.00E-06,2.229047928,0.289340692,29.49467855
7.32421875,3696.776871,2.832062995,3.00E-06,2.225350502,0.289134175,29.43619051
7.36328125,3697.731682,2.833061158,3.00E-06,2.221622102,0.288923222,29.37739705
7.40234375,3698.683428,2.834046739,3.00E-06,2.217875145,0.288708789,29.31794099
7.44140625,3699.635316,2.835025762,3.00E-06,2.214121074,0.288492198,29.25913923
7.48046875,3700.593182,2.836010654,3.00E-06,2.21037463,0.288275537,29.20219301
7.51953125,3701.562284,2.837012581,3.00E-06,2.206654808,0.28806116,29.14616749
7.55859375,3702.541406,2.838029747,3.00E-06,2.202983404,0.287850672,29.09218085
7.59765625,3703.523307,2.839047208,3.00E-06,2.199387518,0.287645114,29.04139757
7.63671875,3704.502498,2.840050777,3.00E-06,2.195878826,0.287444381,28.99233854
7.67578125,3705.479083,2.841036503,3.00E-06,2.192451746,0.287247793,28.94430665
7.71484375,3706.454983,2.842006305,3.00E-06,2.189100307,0.287055085,28.89911047
7.75390625,3707.430826,2.842961589,3.00E-06,2.185816659,0.286865793,28.8599926
7.79296875,3708.406406,2.843902573,3.00E-06,2.182599174,0.286679852,28.82646247
7.83203125,3709.381022,2.84482929,3.00E-06,2.179445095,0.28649709,28.79289785
7.87109375,3710.353929,2.845742806,3.00E-06,2.176353416,0.286317556,28.75618469
7.91015625,3711.325432,2.846646489,3.00E-06,2.173320916,0.286141294,28.7207044
7.94921875,3712.295787,2.847543903,3.00E-06,2.170332263,0.285967371,28.68799934
7.98828125,3713.263829,2.848436023,3.00E-06,2.167380183,0.285795298,28.66065809
8.02734375,3714.227756,2.849321924,3.00E-06,2.164442248,0.285623177,28.63571349
8.06640625,3715.186126,2.850201067,3.00E-06,2.161439828,0.285457749,28.6074088
8.10546875,3716.138428,2.851074845,3.00E-06,2.158368006,0.285293544,28.56862468
8.14453125,3717.085556,2.851946569,3.00E-06,2.155245365,0.285124643,28.52225547
8.18359375,3718.029558,2.852820212,3.00E-06,2.15207343,0.284951415,28.47163189
8.22265625,3718.972704,2.85369932,3.00E-06,2.148856766,0.284774428,28.4202245
8.26171875,3719.916637,2.854586601,3.00E-06,2.145602433,0.284594383,28.36961983
8.30078125,3720.861681,2.855483076,3.00E-06,2.142314864,0.284411662,28.31998514
8.33984375,3721.807657,2.856388347,3.00E-06,2.138994602,0.284226244,28.26810133
8.37890625,3722.754886,2.857301411,3.00E-06,2.135651724,0.284038798,28.21145546
8.41796875,3723.703161,2.858219732,3.00E-06,2.13229685,0.283849927,28.15024157
8.45703125,3724.650764,2.859138684,3.00E-06,2.128945288,0.283660451,28.08216069
8.49609375,3725.595811,2.860053845,3.00E-06,2.125617244,0.283471605,28.01447545
8.53515625,3726.537498,2.860963369,3.00E-06,2.122318664,0.283283726,27.94994781
8.57421875,3727.476357,2.86186876,3.00E-06,2.119035332,0.283095831,27.88752508
8.61328125,3728.408797,2.862844818,3.00E-06,2.115659547,0.282907189,27.82475802
8.65234375,3729.335694,2.863904272,3.00E-06,2.112175809,0.282717798,27.76088018
8.69140625,3730.260198,2.864957801,3.00E-06,2.108695782,0.282527238,27.69686489
8.73046875,3731.176326,2.865993379,3.00E-06,2.105222825,0.282334794,27.63373812
8.76953125,3732.084485,2.867012418,3.00E-06,2.10174264,0.282139428,27.57222033
8.80859375,3732.989888,2.868027748,3.00E-06,2.098232636,0.281940346,27.51226918
8.84765625,3733.89598,2.869049806,3.00E-06,2.094684026,0.281737655,27.45342312
8.88671875,3734.803279,2.8700812,3.00E-06,2.091089894,0.281530962,27.39444018
8.92578125,3735.711692,2.871120197,3.00E-06,2.087448141,0.281319901,27.33504619
8.96484375,3736.621714,2.872164586,3.00E-06,2.083697396,0.281121037,27.27523756
9.00390625,3737.533931,2.873212594,3.00E-06,2.079897131,0.280918854,27.21517574
9.04296875,3738.448285,2.874262286,3.00E-06,2.076053798,0.280712415,27.15596423
9.08203125,3739.364439,2.875311763,3.00E-06,2.072162328,0.280501134,27.09617657
9.12109375,3740.282803,2.876360279,3.00E-06,2.068223254,0.280284932,27.03497658
9.16015625,3741.203904,2.877407415,3.00E-06,2.064237558,0.280063788,26.97294197
9.19921875,3742.126747,2.878451112,3.00E-06,2.060207156,0.279837623,26.91063994
9.23828125,3743.049004,2.879488252,3.00E-06,2.056139459,0.279606698,26.84868139
9.27734375,3743.968126,2.880516415,3.00E-06,2.052041264,0.279371288,26.78785371
9.31640625,3744.881321,2.88153401,3.00E-06,2.047918523,0.279131678,26.72884206
9.35546875,3745.785719,2.882540181,3.00E-06,2.043778729,0.278888339,26.67060061
9.39453125,3746.679435,2.883535176,3.00E-06,2.03963422,0.278642222,26.61039758
9.43359375,3747.562058,2.884520043,3.00E-06,2.035492318,0.278393966,26.54846503
9.47265625,3748.435003,2.885496977,3.00E-06,2.031352833,0.278143716,26.48556846
9.51171875,3749.30121,2.886469684,3.00E-06,2.027210865,0.277891364,26.4221204
9.55078125,3750.164561,2.887443594,3.00E-06,2.023066526,0.277637339,26.35810948
