StopID,Days,Hours,Predict,Target,APE
15,1,7,1674.01,1742,0.039029
16,1,7,1796.43,1852,0.030004
17,1,8,1923.03,1992,0.034625
18,1,8,2050.25,2112,0.029237
19,1,8,2155.76,2212,0.025427
20,1,8,2363.43,2442,0.032175
21,1,8,2537.75,2612,0.028428
22,1,8,2589.45,2672,0.030894
0,2,5,209.96,200,0.049783
1,2,5,364.74,350,0.042111
2,2,5,533.39,520,0.025748
3,2,6,706.15,710,0.005416
4,2,6,759.23,760,0.00101
5,2,6,856.08,849,0.008339
6,2,6,927.38,919,0.009118
7,2,6,1065.26,1050,0.014537
8,2,6,1129.88,1118,0.010628
9,2,6,1322.55,1320,0.00193
11,2,6,1450.11,1450,0.000077
12,2,6,1477.51,1470,0.005108
13,2,6,1615.79,1611,0.002972
14,2,6,1747.12,1741,0.003516
15,2,6,1815.35,1811,0.002404
16,2,6,1937.34,1915,0.011666
17,2,6,2035.11,2011,0.011991
18,2,6,2158.16,2141,0.008017
19,2,6,2254.91,2231,0.010719
20,2,6,2504.85,2461,0.017817
21,2,6,2659.01,2620,0.014887
22,2,6,2721.8,2681,0.015218
0,2,10,226.68,219,0.035056
1,2,10,385.05,369,0.043504
2,2,10,536.49,520,0.031713
3,2,10,783.51,749,0.046078
4,2,10,857.17,820,0.045328
5,2,10,950.1,910,0.044061
6,2,10,1020.13,979,0.042013
7,2,10,1176.98,1138,0.03425
8,2,10,1254.93,1213,0.034567
9,2,10,1440.11,1414,0.018468
10,2,10,1527.54,1499,0.01904
11,2,10,1636.59,1600,0.022866
12,2,10,1695.13,1674,0.012622
13,2,10,1867.39,1850,0.009398
14,2,10,1950.55,1940,0.005438
15,2,11,2013.55,1999,0.007278
16,2,11,2155.52,2140,0.007251
17,2,11,2263.32,2250,0.00592
18,2,11,2369.64,2349,0.008788
19,2,11,2495.79,2460,0.014549
20,2,11,2767.3,2720,0.017391
21,2,11,2938.42,2869,0.024197
22,2,11,2994.77,2940,0.018629
0,3,7,182.52,180,0.014
1,3,7,360.4,371,0.028565
2,3,7,449.98,450,0.000051
3,3,7,616.69,671,0.080935
4,3,7,736.06,790,0.068279
5,3,7,821.19,881,0.067888
6,3,7,909.3,970,0.062577
7,3,7,1053.44,1118,0.057746
8,3,7,1126.67,1190,0.053219
9,3,7,1258.42,1300,0.031981
10,3,7,1320.19,1359,0.028557
11,3,7,1426.12,1470,0.02985
12,3,7,1460.91,1492,0.020841
14,3,7,1633.72,1663,0.017604
15,3,7,1712.78,1742,0.016776
16,3,7,1841.47,1852,0.005688
17,3,7,1980,1993,0.006522
18,3,7,2131.85,2142,0.004737
19,3,7,2237.73,2242,0.001903
20,3,7,2468.05,2451,0.006958
21,3,7,2625.08,2602,0.008871
22,3,7,2687.52,2662,0.009586
0,4,9,247.09,230,0.074299
1,4,9,437.01,420,0.040489
2,4,9,696.88,680,0.024818
3,4,10,961.44,880,0.092545
4,4,10,1028.04,950,0.082145
5,4,10,1133.62,1050,0.079637
7,4,10,1282.07,1202,0.066614
8,4,10,1387.83,1302,0.065919
9,4,10,1578.74,1522,0.037277
11,4,10,1678.35,1622,0.034741
12,4,10,1707.94,1651,0.034486
13,4,10,1910.67,1852,0.031677
14,4,10,2059.17,1992,0.03372
15,4,10,2155.03,2092,0.030131
16,4,10,2313.75,2242,0.032005
17,4,10,2420.5,2342,0.033519
18,4,10,2572.22,2482,0.036348
19,4,10,2684.7,2582,0.039774
20,4,10,2919.46,2832,0.030882
21,4,10,3081.85,3002,0.026597
22,4,10,3144.2,3062,0.026844
0,5,7,158.15,150,0.054307
1,5,7,281.41,270,0.042273
2,5,7,460.47,460,0.001017
3,5,7,665.45,760,0.124404
4,5,7,721.66,800,0.097931
5,5,7,813.4,891,0.087088
6,5,7,903.12,980,0.078451
7,5,7,1051.69,1119,0.060155
8,5,7,1126.88,1190,0.053039
9,5,7,1290.17,1350,0.044316
11,5,7,1405.34,1460,0.037441
13,5,8,1546.73,1595,0.030266
14,5,8,1719.42,1775,0.031313
15,5,8,1811.18,1855,0.023622
