,StopID,Days,Hours,Predict,Target,APE
354,21,6,12,2369.72,2338,0.013566
355,22,6,12,2456.66,2441,0.006416
356,0,1,3,225.13,219,0.027979
357,1,1,4,403.35,361,0.117316
358,2,1,4,601.09,570,0.05454
359,3,1,4,747.98,741,0.009426
360,4,1,4,792.31,791,0.001656
361,5,1,4,890.79,890,0.000891
362,6,1,4,971.55,967,0.004707
363,7,1,4,1140.41,1119,0.01913
364,8,1,4,1205.55,1180,0.021649
365,9,1,4,1318.16,1320,0.001398
366,10,1,4,1387.72,1391,0.002358
367,11,1,4,1522.49,1530,0.004911
368,12,1,4,1551.5,1551,0.000325
369,13,1,4,1728.88,1721,0.004579
370,14,1,4,1802.15,1801,0.000641
371,15,1,4,1868.54,1868,0.000291
372,16,1,4,1991.4,1987,0.0022140000000000003
373,17,1,4,2106.44,2087,0.009317
374,18,1,4,2219.82,2188,0.014542
375,19,1,4,2335.82,2287,0.021348
376,20,1,4,2742.16,2677,0.02434
377,21,1,4,2900.85,2847,0.018914
378,22,1,4,2956.26,2898,0.020105
379,0,1,8,126.25,120,0.052108
380,1,1,8,347.07,340,0.020799
381,2,1,8,481.72,480,0.003589
382,3,1,8,666.71,820,0.18694000000000002
383,4,1,8,741.89,910,0.18474000000000002
384,5,1,8,829.79,1000,0.170212
385,7,1,8,996.74,1159,0.140002
386,8,1,8,1062.63,1220,0.12899000000000002
387,9,1,9,1252.78,1420,0.11776199999999999
388,11,1,9,1385.34,1541,0.101012
389,13,1,9,1522.42,1686,0.097023
390,14,1,9,1630.17,1807,0.09786
391,15,1,9,1732.11,1925,0.100204
392,16,1,9,1889.36,2095,0.09816
393,17,1,9,2036.78,2261,0.09916699999999999
394,18,1,9,2159.11,2402,0.10112
395,19,1,9,2271.23,2505,0.093321
396,20,1,9,2553.9,2799,0.08756599999999999
397,21,1,9,2713.99,2957,0.08217999999999999
398,22,1,9,2766.09,3008,0.08042300000000001
399,0,1,13,208.85,200,0.04425
400,1,1,13,408.46,390,0.047327
401,2,1,13,566.22,560,0.011099
402,3,1,13,760.05,770,0.012918
403,4,1,13,831.77,840,0.009798999999999999
404,5,1,13,934.17,938,0.004086
405,6,1,13,1028.08,1030,0.001866
406,7,1,13,1194.09,1199,0.004096
407,8,1,13,1270.6,1271,0.00031299999999999996
408,9,1,14,1421.46,1420,0.001031
409,11,1,14,1529.43,1530,0.000376
410,12,1,14,1560.08,1573,0.008216
411,14,1,14,1696.46,1725,0.016543000000000002
412,15,1,14,1762.24,1785,0.012751
413,16,1,14,1881.05,1908,0.014126
414,17,1,14,2018.82,2048,0.01425
415,18,1,14,2141.44,2178,0.016786000000000002
416,19,1,14,2246.98,2278,0.013618
417,20,1,14,2578.15,2639,0.023059
418,21,1,14,2771.77,2809,0.013255000000000001
419,22,1,14,2826.53,2859,0.011358
420,0,2,4,256.96,229,0.12208599999999999
421,1,2,4,406.28,379,0.071976
422,2,2,4,531.28,499,0.064691
423,3,2,4,687.87,710,0.031176
424,4,2,4,758.63,781,0.028645
425,5,2,4,840.04,859,0.022077
426,6,2,4,909.81,931,0.022763
427,7,2,4,1062.11,1087,0.022896
428,8,2,4,1119.93,1141,0.01847
429,9,2,4,1321.44,1361,0.02907
430,11,2,5,1413.62,1451,0.025762
431,13,2,5,1557.69,1584,0.016611
432,14,2,5,1710.98,1740,0.016681
433,15,2,5,1788.28,1810,0.011999
434,16,2,5,1930.78,1930,0.000405
435,17,2,5,2026.09,2030,0.001925
436,18,2,5,2137.93,2145,0.003296
437,19,2,5,2226.94,2235,0.003607
438,20,2,5,2427.27,2425,0.0009339999999999999
439,21,2,5,2587.21,2575,0.004743
440,22,2,5,2633.89,2615,0.0072239999999999995
441,0,2,9,152.77,140,0.091209
442,1,2,9,277.69,260,0.06802000000000001
443,2,2,9,501.9,500,0.003803
444,3,2,10,695.3,760,0.085138
445,4,2,10,761.55,830,0.08247
446,5,2,10,854.49,930,0.081195
447,6,2,10,932.31,1007,0.074167
448,7,2,10,1081.52,1166,0.07245
449,8,2,10,1157.19,1240,0.06678300000000001
450,9,2,10,1278.2,1360,0.060144
451,11,2,10,1378.79,1461,0.05627000000000001
452,13,2,10,1516.81,1593,0.047829
453,15,2,10,1608.09,1696,0.051834000000000005
454,16,2,10,1744.13,1836,0.050037
455,17,2,10,1876.98,1972,0.048184
456,18,2,10,2003.49,2086,0.039555
457,19,2,10,2139.56,2216,0.034495
458,20,2,10,2431.28,2496,0.02593
459,21,2,10,2580.96,2691,0.040893
460,22,2,10,2647.39,2756,0.039409
461,0,3,3,109.25,110,0.006862
462,1,3,3,315.98,330,0.042479
463,2,3,3,514.26,530,0.029702
464,3,3,3,659.05,650,0.013916
465,4,3,3,783.92,780,0.00503
466,5,3,3,880.88,880,0.000998
467,6,3,3,1011.45,1010,0.00144
468,7,3,3,1201.28,1190,0.009477
469,8,3,3,1274.71,1260,0.011672
470,9,3,3,1472.73,1450,0.015674
471,11,3,3,1592.36,1570,0.014242
472,12,3,3,1640.36,1600,0.025225
473,13,3,3,1802.55,1750,0.030031
474,14,3,3,1934.74,1880,0.029117
475,15,3,3,2027.16,1987,0.020212
476,16,3,3,2163.18,2127,0.017008000000000002
477,17,3,3,2298.75,2267,0.014003999999999999
478,18,3,3,2377.04,2357,0.008503
479,19,3,3,2488.63,2477,0.004695
480,20,3,4,2813.96,2797,0.006063000000000001
481,21,3,4,3043.57,3007,0.012161
482,0,3,12,105.23,110,0.043343
483,1,3,13,311.77,330,0.05525700000000001
484,2,3,13,413.44,420,0.015607
485,3,3,13,577.85,620,0.067987
486,4,3,13,630.46,670,0.059017999999999994
487,5,3,13,725.17,770,0.058222
488,6,3,13,785.17,829,0.052871
489,7,3,13,932.63,980,0.048336000000000004
490,8,3,13,1002.7,1040,0.035864
491,9,3,13,1262.67,1270,0.005775
492,11,3,13,1383.73,1390,0.004509
493,12,3,13,1419.43,1430,0.007389
494,14,3,13,1491.94,1480,0.008068
495,15,3,13,1602.29,1593,0.005832
496,16,3,13,1718.28,1742,0.013616999999999999
497,17,3,13,1874.05,1892,0.00949
498,18,3,13,1962.57,1973,0.005289
499,19,3,13,2089.65,2103,0.0063490000000000005
500,20,3,13,2287.73,2311,0.01007
501,21,3,13,2486.83,2473,0.005591
502,22,3,13,2541.67,2528,0.005409000000000001
503,0,4,4,131.39,130,0.010661
504,1,4,4,301.49,290,0.039624
505,2,4,4,521.12,520,0.002146
506,3,4,4,697.51,710,0.017591
507,4,4,4,751.97,770,0.023416
508,5,4,4,860.34,870,0.011106
509,6,4,4,944.27,955,0.011236
510,7,4,4,1101.58,1120,0.016447999999999997
511,8,4,4,1185.87,1210,0.019941999999999998
512,9,4,4,1425.81,1450,0.01668
513,10,4,4,1495.01,1520,0.016443
514,11,4,4,1601.25,1627,0.015829
515,12,4,4,1630.43,1653,0.013652000000000001
516,13,4,4,1773.34,1790,0.009309999999999999
517,14,4,4,1844.23,1870,0.013779
518,15,4,4,1923.22,1960,0.018765
519,16,4,4,2029.53,2072,0.020497
520,17,4,4,2142.37,2187,0.020408000000000003
521,18,4,4,2237.88,2296,0.025314
522,19,4,4,2358.87,2407,0.019997
523,20,4,4,2586.72,2597,0.00396
524,21,4,4,2761.58,2787,0.00912
525,22,4,4,2837.26,2857,0.006909
526,1,4,9,200.53,190,0.055412
527,3,4,9,473.1,520,0.090193
528,4,4,10,557.96,600,0.070062
529,5,4,10,645.76,680,0.050355000000000004
530,6,4,10,718.18,750,0.042425
531,7,4,10,865.54,900,0.038291000000000006
532,8,4,10,941.95,980,0.038829
533,9,4,10,1135.89,1220,0.06894
534,11,4,10,1261.02,1350,0.065913
535,12,4,10,1311.07,1385,0.053381
536,14,4,10,1481.36,1569,0.055855999999999996
537,15,4,10,1556.24,1639,0.050497
538,16,4,10,1661.9,1739,0.044335
539,17,4,10,1754.74,1833,0.042697000000000006
540,18,4,10,1871.93,1962,0.045908
541,19,4,10,1999.37,2080,0.038764
542,20,4,10,2344.12,2422,0.032152999999999994
543,21,4,10,2523.64,2592,0.026373
544,22,4,10,2571.59,2637,0.024805
545,0,10,3,114.81,90,0.275617
546,1,10,3,242.53,240,0.01056
547,2,10,3,347.18,340,0.021109
548,3,10,3,477.91,450,0.062022
549,4,10,3,573.64,560,0.024354
550,5,10,3,660.51,652,0.013059999999999999
551,6,10,3,720.29,710,0.0145
552,7,10,3,881.58,870,0.013313
553,8,10,3,944.31,930,0.015385
554,9,10,3,1081.59,1060,0.020366
555,11,10,3,1181.73,1160,0.018733
556,13,10,3,1332.15,1304,0.021587000000000002
557,15,10,3,1436.05,1407,0.020646
558,16,10,3,1545.5,1517,0.018787
559,17,10,3,1680.39,1661,0.011675
560,18,10,3,1772.55,1749,0.013466999999999998
561,19,10,3,1895.33,1867,0.015174000000000002
